,Nombre,Tipo,Id,Area,Campo,Disciplina
141,Soluciones exactas de EDPs lineales de segundo orden mediante algebras,ResearchProject,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
142,Ecuaciones diferenciales sobre algebras,ResearchGroup,a8279b9e595f4163b96270c704983108,1.0,6.0,47.0
143,Cuerpo Académico de macatrónica,ResearchGroup,a8279b9e595f4163b96270c704983108,7.0,32.0,972.0
144,Superficies Modificadas Mediante Polimerización por Plasma para Cocultivos de Modelos Hepáticos,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
145,"""Development of a neuromuscular junction model on surfaces modified by plasma polymerization"".",ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
146,Plasma gradient modified scaffolds to generate a chemoattractant surface,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,261.0
147,Nerve cells culture from lumbar spinal cord on surfaces modified by plasma pyrrole polymerization,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,261.0
148,Hepatocyte culture in a radial flow bioreactor with plasma polypyrrole coated scaffolds,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
149,Superficial modification of biopolymeric scaffolds for tridimensional hepatic cell model,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
150,Organic-Polymeric Radial Flow Biorreactor for Liver Models,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
151,Cell cocultures on coated scaffolds applied to liver models,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
152,Fibrosis and Hepatic Regeneration Mechanism,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
153,Funtional test of an in vitro maintenance system prototype type organ-on-chip for skeletal muscle,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
154,Estructura de Diseño Poroso por Latice de Vástago Femoral para Artroplastia Total de Cadera,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
155,Electrophysiological recordings from embryonic mouse motoneurons cultured on electrospun PLA and PPy-coated PLA scaffolds,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
156,Design of protective vessel and irrigation system for an organ-on-chip device,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
157,Fibrosis and hepatic regeneration mechanism,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
158,A review from mesenchymal stem-cells and their small extracellular vesicles in tissue engineering,ScientificPaper,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
159,Diseño y simulación de un prototipo de sistema de alineación por flujo laminar para el crecimiento organizado in vitro del músculo,ResearchProject,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
160,Diseño y fabricación de materiales para aplicaciones cardiovasculares,ResearchProject,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
161,INVESTIGACIONES BIOMÉDICA,ResearchGroup,d3287765e3ca465e8ec48a045dd4eadd,7.0,30.0,269.0
162,THEM AND US: AN INDOOR PERVASIVE GAMING EXPERIENCE,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
163,IDENTIFYING ROADWAY SURFACE DISRUPTIONS BASED ON ACCELEROMETER PATTERNS ISSN: 1548-0992,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
164,KAPEAN: Understanding Affective States of Children with ADHD,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
165,Exploring Digital and Manual Modalities in Educational Activities for Children with ADHD,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
166,Learning Roadway Surface Disruption patterns using the Bag of Words representation,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
167,Evaluation of Detection Approaches for Road Anomalies Based on Accelerometer Readings-Addressing Who’s Who,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
168,Robust contour tracking of nonholonomic mobile robots via adaptive velocity field motion planning scheme,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
169,Output Feedback Fractional Integral Sliding Mode Control of Robotic Manipulators,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
170,On predefined-time synchronisation of chaotic systems,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
171,How Smartphone Accelerometers Reveal Aggressive Driving Behavior?-The Key is the Representation,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
172,Robust Mittag-Leffler Stabilization of Fractional-Order Systems,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
173,A fractional super-twisting control of electrically driven mechanical systems,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
174,Exploring Convolutional Neural Networks Architectures for the Classification of Hand-Drawn Shapes in Learning Therapy Applications,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
175,Becoming Smarter at Characterizing Potholes and Speed Bumps from Smartphone Data - Introducing a Second-Generation Inference Problem,ScientificPaper,a2df4880eaba41e38de9474a5e5d06a1,7.0,32.0,277.0
